ÄäÖöÜüß												// German
ÀàÂâÆæÉéÈèÊêËëÎîÏïÔôŒœÙùÛûÜüÇçŸÿ					// French
ÁáÉéÍíïÓóÚúÜüÝýÑñ¿¡									// Spanish
ÅåÄäÖö												// Swedish
ÆæØøÅå												// Danish / Norwegian
ÅåÄäÖöŠšŽž											// Finnish
ÁáÐðÉéÍíÓóÚúÝýÞþÆæÖö								// Icelandic
ÁáČčĎďÉéĚěéÍíŇňÓóŘřŠšŤťÚúúŮůÝýŽž					// Czech
ΑαΒβΓγΔδΕεΖζΗηΘθΙιΚκΛλΜμΝνΞξΟοΠπΡρΣσςΤτΥυΦφΧχΨψΩω	// Greek
АБВГҐДЂЃЕЀЁЄЖЗЗ́ЅИЍІЇЙЈКЛЉМНЊОПРСС́ТЋЌУЎФХЦЧЏШЩЪЫЬЭЮЯ	// Cyrillic
ĄąĆćĘęŁłŃńÓóŚśŹźŻż									// Polish
あいうえおかきくけこさしすせそたちつてとなにぬねのはひふへほまみむめもやゆよらりるれろわゐゑをん	// Japanese (Hiragana)
アイウエオカキクケコサシスセソタチツテトナニヌネノハヒフヘホマミムメモヤユヨラリルレロワヰヱヲン	// Japanses (Katakana)
